"file_name","ankle_left_avg_height","ankle_right_avg_height","pelvis_avg_height","solar_plexus_avg_height","wrist_left_avg_height","wrist_right_avg_height","ankle_left_sd_height","ankle_right_sd_height","pelvis_sd_height","solar_plexus_sd_height","wrist_left_sd_height","wrist_right_sd_height","ankle_left_min_height","ankle_right_min_height","pelvis_min_height","solar_plexus_min_height","wrist_left_min_height","wrist_right_min_height","ankle_left_max_height","ankle_right_max_height","pelvis_max_height","solar_plexus_max_height","wrist_left_max_height","wrist_right_max_height","pelvis_avg_distance_moved","pelvis_sd_distance_moved","pelvis_min_distance_moved","pelvis_max_distance_moved","ankle_left_avg_velocity_magnitude","ankle_right_avg_velocity_magnitude","pelvis_avg_velocity_magnitude","solar_plexus_avg_velocity_magnitude","wrist_left_avg_velocity_magnitude","wrist_right_avg_velocity_magnitude","ankle_left_sd_velocity_magnitude","ankle_right_sd_velocity_magnitude","pelvis_sd_velocity_magnitude","solar_plexus_sd_velocity_magnitude","wrist_left_sd_velocity_magnitude","wrist_right_sd_velocity_magnitude","ankle_left_min_velocity_magnitude","ankle_right_min_velocity_magnitude","pelvis_min_velocity_magnitude","solar_plexus_min_velocity_magnitude","wrist_left_min_velocity_magnitude","wrist_right_min_velocity_magnitude","ankle_left_max_velocity_magnitude","ankle_right_max_velocity_magnitude","pelvis_max_velocity_magnitude","solar_plexus_max_velocity_magnitude","wrist_left_max_velocity_magnitude","wrist_right_max_velocity_magnitude","ankle_left_avg_acceleration_magnitude","ankle_right_avg_acceleration_magnitude","pelvis_avg_acceleration_magnitude","solar_plexus_avg_acceleration_magnitude","wrist_left_avg_acceleration_magnitude","wrist_right_avg_acceleration_magnitude","ankle_left_sd_acceleration_magnitude","ankle_right_sd_acceleration_magnitude","pelvis_sd_acceleration_magnitude","solar_plexus_sd_acceleration_magnitude","wrist_left_sd_acceleration_magnitude","wrist_right_sd_acceleration_magnitude","ankle_left_min_acceleration_magnitude","ankle_right_min_acceleration_magnitude","pelvis_min_acceleration_magnitude","solar_plexus_min_acceleration_magnitude","wrist_left_min_acceleration_magnitude","wrist_right_min_acceleration_magnitude","ankle_left_max_acceleration_magnitude","ankle_right_max_acceleration_magnitude","pelvis_max_acceleration_magnitude","solar_plexus_max_acceleration_magnitude","wrist_left_max_acceleration_magnitude","wrist_right_max_acceleration_magnitude"
"output_0",-0.878643017008223,-0.874281889759004,0,0.317989980717274,0.111102646994616,0.17244613837333,0.0109162450550044,0.0173901895445812,0,0.00471665725165873,0.109125124892166,0.0878020704930228,-0.916510760784149,-0.925279319286346,0,0.308538556098938,-0.0612931959331036,-0.0298017505556345,-0.843777000904083,-0.819133639335632,0,0.331980586051941,0.445765346288681,0.356646150350571,0,0,0,0,0.00272439345537129,0.00387051935348879,0,0.00183824022383573,0.00689172499424347,0.00752270806057007,0.00269863583014217,0.00477532026644044,0,0.00149637182173042,0.00734642801303042,0.00852266322004185,0.00017293121394643,0.000494497652578646,0,8.96307407233669e-05,0.00017452640218977,7.23294152393767e-05,0.0284352902643011,0.0555997726628712,0,0.0164413644936443,0.105120167175172,0.128068687157124,0.00189530680101766,0.002416320253935,0,0.00177124261418435,0.00321176873237563,0.00294628945346304,0.00116762401160916,0.00182352656497536,0,0.000674575989342947,0.00373307987782107,0.0036868558352329,0.000234133586724354,0.000344330817937403,0,0.000244738504968028,0.000155297771665683,0.00015442488269295,0.0142323571944383,0.0182619088855043,0,0.00694476604279588,0.07411212009039,0.0715890053760248
"output_1",-0.878191427835687,-0.874608576721088,0,0.317805447954346,0.113905856891175,0.171424011932355,0.0114764235186211,0.0173823983748271,0,0.00500593197124714,0.106388832621567,0.089314302428305,-0.91688197851181,-0.924920916557312,0,0.308861792087555,-0.0572415627539158,-0.0107011524960399,-0.843234956264496,-0.81808066368103,0,0.331623136997223,0.416317671537399,0.367326021194458,0,0,0,0,0.00273130870745851,0.0038901434525034,0,0.00184740040350246,0.00692989221344206,0.00757445219621685,0.00272227851679365,0.00480876003594533,0,0.00151568993088327,0.00700201972689106,0.00843081617894097,0.000186381074823825,0.000457484339518994,0,0.000227526487910787,0.000262972104272378,0.000242117068293034,0.0286701754075545,0.0563470476498072,0,0.0165981343305486,0.0947364477650254,0.123895812654568,0.00189380134275048,0.00242301251852098,0,0.00177215774630244,0.003247006234074,0.00298603027501512,0.0011659151478978,0.00183568111062296,0,0.000675436852627146,0.00348420138683664,0.00361154898839826,0.000162008665250361,0.000181681034603535,0,0.000318801901705113,0.000296309966989969,0.000169240299553678,0.0145749883179348,0.018305624800063,0,0.00669277354160076,0.0674793843392737,0.0696388087203354
"output_10",-0.822494249706241,-0.811910918194124,0,0.284552579809149,0.050263018343354,0.081974882897405,0.0558399877567185,0.104785719621209,0,0.0583602297399147,0.152808838095356,0.149951056501343,-0.906023025512695,-0.911546647548676,0,0.0772460699081421,-0.533683955669403,-0.258647680282593,-0.604001224040985,-0.331977009773254,0,0.327488154172897,0.394256860017776,0.677241683006287,0,0,0,0,0.0133883842440202,0.0140913121451967,0,0.00649258116293962,0.0245972379534438,0.0247824636371963,0.0103893480291824,0.0117165553662,0,0.00562547630825753,0.0140282680468419,0.0150691761293888,0.00107773016623825,0.000760164961418448,0,0.000276958035040833,0.00111626187424344,0.000510209370552162,0.0689733307587175,0.065115998293545,0,0.0412762494523074,0.0745496336258247,0.146138346190872,0.00419653379277644,0.0046431297127529,0,0.00223859838724755,0.00600606622861955,0.00613660512153708,0.00284276880952193,0.00293558263359385,0,0.001618730674931,0.00334849709733628,0.00490667071484251,0.000375709632792285,0.000330213312337994,0,0.000133713223953726,0.000193481841214909,0.000541565029172356,0.0299618859019221,0.0211248526489873,0,0.0300765545167201,0.0349019666667293,0.0828687012179157
"output_100",-0.877918307415464,-0.872657586651092,0,0.313062784896994,0.348294492165389,0.245398957338858,0.0106477288902583,0.0115680626969043,0,0.00809762326969363,0.269168526894907,0.18755967374301,-0.899381995201111,-0.899381697177887,0,0.289009571075439,-0.077799916267395,-0.0279289614409208,-0.842567026615143,-0.838147580623627,0,0.327619254589081,0.800280332565308,0.665449857711792,0,0,0,0,0.00278253218089591,0.00363616426911589,0,0.00224155627021298,0.00987912255431301,0.0104618659768225,0.00279441827027312,0.00339281804542047,0,0.00157182149383769,0.00800898592586731,0.00897410490624793,8.69051667501983e-05,0.000189597876902852,0,0.000211686159333271,0.000490952545109098,0.000266439333410374,0.0291562382559394,0.0295798939086964,0,0.0124732140057843,0.121256168213257,0.122814264017819,0.00191292170760408,0.00216391269126858,0,0.00161484597019384,0.00404050502652938,0.00385546255363215,0.00140826655638934,0.00151104304017919,0,0.000868659306021734,0.00362465150597192,0.00321775732390766,0.000106647011295382,0.000154691286365328,0,0.000156981179301505,0.000225839947382052,0.000120764963093859,0.0167520444654132,0.0169369586097769,0,0.00706161467217623,0.075096756824106,0.056156850466676
"output_11",-0.872005004351112,-0.868629389019175,0,0.31425597616048,0.0150847781319911,0.070239706309208,0.0144583502384157,0.0158281823675368,0,0.00667482227404524,0.0466410951121821,0.0763836667140663,-0.898825705051422,-0.905604839324951,0,0.287423312664032,-0.0829614400863647,-0.0587500780820847,-0.834968149662018,-0.821051359176636,0,0.334495961666107,0.18352635204792,0.248992785811424,0,0,0,0,0.00415172200978822,0.00433278690874605,0,0.00223053960363498,0.00625191023513148,0.00711027049599311,0.00273816973721838,0.00249639042720939,0,0.00161100212826407,0.00455162351093743,0.00664382974368755,0.000260453066639186,0.000378458436421878,0,5.14084906493912e-05,0.000254781150918741,0.000329851502622607,0.0259375900892061,0.0179072676833772,0,0.0127180575327972,0.059927085768293,0.1077786231784,0.0020460857357948,0.00224484057405498,0,0.00147763498103082,0.00272900428573042,0.00283903976364014,0.00141968437938428,0.00126367062601842,0,0.000607083812657653,0.00215790104904695,0.00306157121721318,0.000201865384602882,0.000238570502518517,0,0.000224256984879523,0.00029608623716281,0.000277397238676002,0.0132947834961201,0.00771161864901759,0,0.00574443086503975,0.0419036901023664,0.0641321803067127
"output_12",-0.612408331152187,-0.657250111681855,0,0.262453793951532,0.0388100478726713,0.0115797019967759,0.381731949234755,0.329577893318049,0,0.127372035836849,0.166929070524849,0.16034213498431,-0.884646832942963,-0.90029776096344,0,-0.252133727073669,-0.496307522058487,-0.581998467445374,0.792657732963562,0.716956794261932,0,0.326037466526031,0.407140642404556,0.303866118192673,0,0,0,0,0.0171487618351399,0.020162288227544,0,0.00636165172060431,0.0196481723220419,0.0172405593836739,0.017913195599082,0.0203710640349269,0,0.00658289559489197,0.0117024647663851,0.0110162412766604,0.000461859177539238,0.000767482837317403,0,0.000320936147138272,0.00081709114948695,0.0011458413055697,0.135112101494095,0.150836315334548,0,0.0377903641644395,0.110326572356003,0.060992694133787,0.00625703859039275,0.00690553134565318,0,0.00218900947578227,0.0052347703521123,0.00491252732389077,0.00625645843002905,0.00651060714710606,0,0.00170533131553087,0.00373160230562093,0.00296725063404649,0.00031461321176629,0.00036825746630803,0,9.25571770439747e-05,0.000541959010237854,0.000467635441645896,0.05289067579264,0.0614023205582412,0,0.0196528722920941,0.0552699759604011,0.0336151289503545
"output_13",-0.878108399750834,-0.874503794549541,0,0.317396019797095,0.116787609937918,0.182222582676662,0.0154091892730342,0.016239197468328,0,0.00525749703813011,0.14389365836619,0.0894564937299261,-0.916969001293182,-0.92680811882019,0,0.305554896593094,-0.0811382830142975,-0.0462948344647884,-0.807621240615845,-0.795527338981628,0,0.332037925720215,0.56827449798584,0.475446045398712,0,0,0,0,0.00375140426749111,0.00510515915519259,0,0.00198630987968843,0.00812320090046015,0.00913557159356686,0.00347860322866969,0.00477041738797413,0,0.00148145200797504,0.00916577464861063,0.0102683451604317,0.00030027010207994,0.000483648611341996,0,0.000193397083344434,6.19522825076335e-05,0.000143132512601156,0.0311227003185049,0.0505808279506912,0,0.0156594017308133,0.133410252809672,0.16771881778858,0.00201126672205263,0.00252502203203027,0,0.0017584935156453,0.00331563057737649,0.0032723061002911,0.00128324537076577,0.00176158145889248,0,0.000664942757347901,0.00449581385018114,0.004775732211212,0.000242910507701951,0.000274390142153865,0,0.000171676341571318,0.000179161623629131,0.000192594419945509,0.0139298270261777,0.0177408170812932,0,0.00695727391666734,0.0937487724053212,0.097690004149456
"output_14",-0.594965792345728,-0.51682728720797,0,0.299239705718884,0.132336694018291,0.101257640856519,0.226787126692777,0.361244471335854,0,0.0193489203105084,0.0844145582956187,0.105048569502053,-0.863059818744659,-0.881227552890778,0,0.225585147738457,-0.0549377538263798,-0.0972186028957367,-0.134125843644142,0.251215010881424,0,0.325547009706497,0.438445568084717,0.510280311107635,0,0,0,0,0.0139622260379399,0.0153567375055254,0,0.00359195470347935,0.0124971306721066,0.0126520098233722,0.0139814192656156,0.0147185478408777,0,0.00299703167551378,0.0117989070256986,0.0134281819144801,0.000522077386527898,0.00115066059783647,0,0.000330175303644522,0.000543532275182838,0.000369265678250652,0.14113324072135,0.12581350807932,0,0.0294693814033894,0.150849486484544,0.162096798035231,0.00733502657276322,0.00762450395628612,0,0.00216696464677985,0.00516479158956473,0.00508201505423427,0.00497183057247296,0.00554951491727724,0,0.00124598395776608,0.00464193863358091,0.00527891621359731,0.000529232723174871,0.000735449233002072,0,0.000277429759086065,0.000349671784369006,0.000314037006923373,0.0443042262503179,0.0596232563224296,0,0.0151790101397361,0.0761276847879402,0.0872179971735515
"output_15",-0.850815708071671,-0.863063875416463,0,0.311789428561248,0.121881057909129,0.179216427794679,0.0614363752866463,0.0533937296868594,0,0.0209095517854432,0.141477375212176,0.153106144470705,-0.89972323179245,-0.907742857933044,0,0.200832054018974,-0.234400659799576,-0.035093642771244,-0.608876049518585,-0.642223119735718,0,0.327437579631805,0.469551414251328,0.503826558589935,0,0,0,0,0.00534236392648665,0.00622857901202854,0,0.00315641116203248,0.0117326354643858,0.013461609622809,0.00365307465559068,0.00540634889047768,0,0.00315892704300238,0.0103865485604621,0.0090769447142908,0.00015967108693848,0.000235595853797782,0,0.000218300450803797,0.000450342795975216,0.000342984122553788,0.026153310243834,0.0417101183322905,0,0.0208895924514109,0.160891167313712,0.0735633849998818,0.00253346083432497,0.00252332977958009,0,0.00163991363885974,0.00399976050906559,0.00401988446646837,0.00159613114096461,0.00194129507049654,0,0.000807976327379603,0.0040667154493827,0.0027627688535547,0.000143868441794712,0.00011899929997602,0,0.000211129266509037,0.000143519819843906,0.000307124855726936,0.0236268174461103,0.0302728297517974,0,0.00623616781946805,0.0785139579059478,0.0421176017623908
"output_16",-0.880299607715146,-0.87232250102203,0,0.31773959510875,0.121103548383954,0.178809082842649,0.0101936622544867,0.0166395467621746,0,0.00540936653284528,0.141369591444968,0.102857443641774,-0.91794216632843,-0.924305379390717,0,0.294456213712692,-0.0728745013475418,-0.031636904925108,-0.844808220863342,-0.801933705806732,0,0.332871049642563,0.584873080253601,0.442309528589249,0,0,0,0,0.00305654656917065,0.00434233788202852,0,0.00196245118796877,0.00870871789180195,0.00869280092346627,0.00296509036681026,0.0046346339000031,0,0.00168660799970374,0.00884678955365156,0.0101256745264592,0.000184048992486347,0.000210247859276926,0,0.000138995049677143,0.000248237078004617,7.27366570197719e-05,0.031804379148818,0.051035443284455,0,0.0170250401850955,0.0989198396846953,0.163907932550575,0.00199582640499952,0.00246164823704721,0,0.00174828007417856,0.00338019674356356,0.00325968363181543,0.00118469264629297,0.00163298739111876,0,0.000692447982857941,0.00371811952842551,0.00456088923677198,0.000221882751723334,0.000134674527824752,0,0.000382836630921842,0.000184560125799783,0.000221472280874636,0.011668650475083,0.0145704200598494,0,0.00818721370951964,0.0720412399994992,0.094513624784384
